user_id,item_id,label,negative_source,split,query_ts,user_history_count,user_unique_poi_count,user_active_span_days,user_recent_count_30d,user_avg_visited_log1p_popularity,user_center_lat,user_center_lon,user_activity_radius_km,user_coord_coverage,item_log1p_popularity,item_prefix_interactions,item_cold_in_prefix,item_days_since_last_active,item_last_active_missing,item_local_density_1km,item_coord_missing,cross_recall_score,cross_dist_to_center_km,cross_dist_missing,cross_candidate_rank,cross_in_candidates,ctx_request_hour,ctx_request_dow,ctx_days_since_last_checkin
1181,13750,0,random_negative,train,1273561944,7,7,159.0009837962963,1,3.0511558761398794,52.52579314238572,13.399395404271427,1.9386263256482597,1.0,2.0794415416798357,7,False,-102.7549537037037,False,4.0,False,-0.7645521759986877,8570.786503135865,False,-1,False,7,1,26.960949074074072
4513,1811,1,positive,train,1266361413,17,17,53.82789351851852,12,4.164473921368889,38.58761517659412,-110.94856627419414,1294.4027302558263,1.0,6.694562058521095,807,False,-245.05445601851852,False,26.0,False,9.006959915161133,558.3252845027918,False,9,True,23,1,1.1694907407407407
9978,15166,0,recall_hard_negative,train,1269052381,41,41,18.54712962962963,41,3.0379883501490808,38.85218227997317,-73.84485386894148,699.0164207197731,1.0,3.1780538303479458,23,False,-182.90077546296297,False,81.0,False,9.147172927856445,453.20244438037605,False,38,True,2,5,0.00028935185185185184
13366,1418,0,recall_hard_negative,val,1280086776,11,11,114.82086805555555,3,3.622906296837158,37.29929096546364,-91.58641610904543,742.1268385494524,1.0,3.9512437185814275,51,False,-76.92320601851851,False,50.0,False,5.614166736602783,731.3123003335369,False,77,True,19,6,7.968541666666667
14008,1076,0,recall_hard_negative,train,1280536771,75,75,113.15972222222223,16,3.638545045776055,36.08627734020532,-110.80938751010267,1392.3113368536767,1.0,5.308267697401205,201,False,-78.99274305555555,False,58.0,False,7.180534362792969,1052.2491007094309,False,173,True,0,5,0.35136574074074073
14521,9962,0,popularity_negative,train,1275524799,26,26,60.56675925925926,21,3.4944542842801414,30.46699108881923,-82.6407456809423,308.62088623419373,1.0,4.248495242049359,69,False,-139.84574074074075,False,1028.0,False,0.2648714482784271,1447.7807263823238,False,-1,False,0,3,0.3952199074074074
14888,1209,0,popularity_negative,train,1276143246,15,15,60.90314814814815,8,3.1934674488196553,37.60275288209333,-83.82181504288667,4259.867209060581,1.0,5.043425116919247,154,False,-130.8902314814815,False,983.0,False,2.986398696899414,1518.9112177472593,False,-1,False,4,3,2.223946759259259
15383,4494,0,random_negative,train,1284833497,42,42,143.85487268518517,2,3.299416058962735,35.48605281036667,-108.07349759385238,1546.8073142679168,1.0,2.772588722239781,15,False,-20.792986111111112,False,0.0,False,4.086089134216309,1131.8750183197872,False,-1,False,18,5,13.81670138888889
15513,22387,0,recall_hard_negative,train,1278780707,22,22,86.128125,5,3.6889790669857248,58.72364351530909,15.70035525364091,181.4228715135125,1.0,5.720311776607412,304,False,-100.24248842592593,False,819.0,False,6.8150506019592285,151.2620096428437,False,181,True,16,5,0.9237731481481481
15650,16586,0,geo_hard_negative,train,1274073056,11,11,28.98099537037037,11,3.1673930764112836,46.73802393365455,-122.28829057817273,181.67712832980507,1.0,4.219507705176107,67,False,-144.59148148148148,False,58.0,False,6.475588798522949,78.35657147057809,False,86,True,5,0,2.0457870370370372
